NAME,TEAM,POS,AGE,GP,MPG,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TOPG
Patrick Beverley,LAC,G,31.59,40,28,38,0.632,115,0.53,176,0.364,8.5,5.8,4,1.23,0.63,1.35
Amir Coffey,LAC,G-F,22.66,6,8.9,1,0,13,0.615,5,0.2,3.2,1.2,0.5,0.17,0.17,0.33
Paul George,LAC,F,29.79,34,29.4,158,0.899,288,0.458,282,0.394,21.7,6.1,3.9,1.32,0.53,3
JaMychal Green,LAC,F-C,29.65,46,20.7,40,0.725,84,0.488,172,0.355,6.4,6.4,0.7,0.48,0.37,0.87
Maurice Harkless,LAC,F-G,26.76,50,22.8,42,0.571,144,0.59,73,0.37,5.5,4,1,0.96,0.6,0.92
Montrezl Harrell,LAC,F-C,26.05,54,28.4,290,0.634,707,0.588,16,0,18.8,7.1,1.8,0.65,1.09,1.81
Mfiondu Kabengele,LAC,F-C,22.5,12,5.4,5,1,12,0.417,20,0.45,3.5,0.9,0.2,0.17,0.17,0.17
Kawhi Leonard,LAC,F,28.63,42,32.5,286,0.895,622,0.497,238,0.374,27.2,7.5,5.3,1.81,0.69,3.05
Terance Mann,LAC,G-F,23.32,34,8,12,0.75,42,0.452,12,0.25,1.6,1,1.1,0.24,0.15,0.41
Rodney McGruder,LAC,G,28.55,43,16.4,26,0.5,72,0.5,74,0.27,3.4,2.8,0.7,0.51,0.19,0.44
Marcus Morris Sr.,LAC,F,30.45,3,33.1,0,0,16,0.563,16,0.313,11,5.7,1.7,1,1,1.33
Johnathan Motley,LAC,F,24.78,13,3.2,7,0.714,14,0.714,1,1,2.2,0.8,0.5,0.23,0,0.38
Patrick Patterson,LAC,F,30.92,45,12.8,34,0.794,44,0.477,134,0.373,4.9,2.6,0.6,0.13,0.07,0.33
Jerome Robinson,LAC,G,22.98,42,11.3,19,0.579,69,0.391,67,0.284,2.9,1.4,1.1,0.31,0.19,0.62
Landry Shamet,LAC,G,22.92,38,29.2,49,0.918,74,0.514,229,0.41,10.6,2.1,1.8,0.39,0.21,0.79
Derrick Walton Jr.,LAC,G,24.87,23,9.6,9,0.778,15,0.533,21,0.429,2.2,0.7,1,0.17,0,0.17
Lou Williams,LAC,G,33.3,52,30,300,0.863,537,0.443,266,0.35,19.5,3.1,5.9,0.63,0.19,2.92
Ivica Zubac,LAC,C,22.91,55,17.8,120,0.733,294,0.602,2,0,8,7.1,1.1,0.2,1,0.85
